Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
04-Mar,04-03-2021,46127.44183,11156689,10344.91289,10919993.37,106.3161765,170519.0004
05-Mar,05-03-2021,46218.27115,11633374.35,10199.44938,10954585.19,107.004902,171037.9459
06-Mar,06-03-2021,46309.10046,11669604.65,10053.98588,10989177.01,107.6936275,171556.8914
07-Mar,07-03-2021,46399.92978,11705834.96,9908.522378,11023768.83,108.3823529,172075.8369
08-Mar,08-03-2021,46490.75909,11742065.26,9763.058876,11058360.65,109.0710784,172594.7824
09-Mar,09-03-2021,46581.58841,11778295.56,9617.595374,11092952.47,109.7598039,173113.7279
10-Mar,10-03-2021,46672.41772,11814525.87,9472.131871,11127544.29,110.4485294,173632.6734
11-Mar,11-03-2021,46763.24703,11850756.17,9326.668369,11162136.11,111.1372549,174151.6189
12-Mar,12-03-2021,46854.07635,11886986.47,9181.204866,11196727.93,111.8259804,174670.5644
13-Mar,13-03-2021,46944.90566,11923216.78,9035.741364,11231319.75,112.5147059,175189.5099
14-Mar,14-03-2021,47035.73498,11959447.08,8890.277862,11265911.56,113.2034314,175708.4554
15-Mar,15-03-2021,47126.56429,11995677.38,8744.814359,11300503.38,113.8921569,176227.4009
16-Mar,16-03-2021,47217.39361,12031907.69,8599.350857,11335095.2,114.5808824,176746.3464
17-Mar,17-03-2021,47308.22292,12068137.99,8453.887354,11369687.02,115.2696078,177265.2919
18-Mar,18-03-2021,47399.05224,12104368.29,8308.423852,11404278.84,115.9583333,177784.2374
19-Mar,19-03-2021,47489.88155,12140598.6,8162.960349,11438870.66,116.6470588,178303.183
20-Mar,20-03-2021,47580.71086,12176828.9,8017.496847,11473462.48,117.3357843,178822.1285
21-Mar,21-03-2021,47671.54018,12213059.2,7872.033345,11508054.3,118.0245098,179341.074
22-Mar,22-03-2021,47762.36949,12249289.51,7726.569842,11542646.12,118.7132353,179860.0195
23-Mar,23-03-2021,47853.19881,12285519.81,7581.10634,11577237.94,119.4019608,180378.965
24-Mar,24-03-2021,47944.02812,12321750.11,7435.642837,11611829.76,120.0906863,180897.9105
25-Mar,25-03-2021,48034.85744,12357980.42,7290.179335,11646421.58,120.7794118,181416.856
26-Mar,26-03-2021,48125.68675,12394210.72,7144.715833,11681013.39,121.4681373,181935.8015
27-Mar,27-03-2021,48216.51607,12430441.02,6999.25233,11715605.21,122.1568627,182454.747
28-Mar,28-03-2021,48307.34538,12466671.33,6853.788828,11750197.03,122.8455882,182973.6925
29-Mar,29-03-2021,48398.17469,12502901.63,6708.325325,11784788.85,123.5343137,183492.638
30-Mar,30-03-2021,48489.00401,12539131.93,6562.861823,11819380.67,124.2230392,184011.5835
